21 210
0 1 10071
0 2 10041
0 3 10090
0 4 10010
0 5 10045
0 6 10097
0 7 10016
0 8 10058
0 9 10095
0 10 10014
0 11 10072
0 12 10089
0 13 10084
0 14 10084
0 15 10078
0 16 10025
0 17 10075
0 18 10053
0 19 10075
0 20 10067
1 2 10019
1 3 10057
1 4 10003
1 5 10088
1 6 10075
1 7 10004
1 8 10017
1 9 10094
1 10 10056
1 11 10063
1 12 10063
1 13 10088
1 14 10073
1 15 10094
1 16 10086
1 17 10094
1 18 10038
1 19 10037
1 20 10011
2 3 10050
2 4 10001
2 5 10011
2 6 10013
2 7 10066
2 8 10084
2 9 10083
2 10 10010
2 11 10038
2 12 10088
2 13 10093
2 14 10008
2 15 10075
2 16 10073
2 17 10095
2 18 10045
2 19 10013
2 20 10002
3 4 10089
3 5 10045
3 6 10003
3 7 10017
3 8 10074
3 9 10027
3 10 10001
3 11 10006
3 12 10083
3 13 10057
3 14 10040
3 15 10041
3 16 10099
3 17 10080
3 18 10054
3 19 10036
3 20 10067
4 5 10034
4 6 10087
4 7 10053
4 8 10087
4 9 10092
4 10 10055
4 11 10093
4 12 10054
4 13 10023
4 14 10003
4 15 10022
4 16 10026
4 17 10066
4 18 10081
4 19 10057
4 20 10043
5 6 10099
5 7 10073
5 8 10007
5 9 10047
5 10 10015
5 11 10069
5 12 10060
5 13 10081
5 14 10012
5 15 10045
5 16 10058
5 17 10081
5 18 10073
5 19 10006
5 20 10027
6 7 10021
6 8 10064
6 9 10007
6 10 10091
6 11 10092
6 12 10016
6 13 10046
6 14 10044
6 15 10073
6 16 10002
6 17 10080
6 18 10061
6 19 10033
6 20 10043
7 8 10098
7 9 10083
7 10 10001
7 11 10057
7 12 10092
7 13 10035
7 14 10080
7 15 10018
7 16 10000
7 17 10015
7 18 10095
7 19 10018
7 20 10068
8 9 10066
8 10 10049
8 11 10037
8 12 10074
8 13 10084
8 14 10059
8 15 10023
8 16 10045
8 17 10034
8 18 10022
8 19 10020
8 20 10075
9 10 10061
9 11 10054
9 12 10007
9 13 10061
9 14 10002
9 15 10060
9 16 10042
9 17 10028
9 18 10063
9 19 10017
9 20 10083
10 11 10017
10 12 10034
10 13 10023
10 14 10075
10 15 10072
10 16 10058
10 17 10069
10 18 10003
10 19 10016
10 20 10062
11 12 10087
11 13 10027
11 14 10003
11 15 10040
11 16 10004
11 17 10053
11 18 10010
11 19 10063
11 20 10055
12 13 10028
12 14 10078
12 15 10076
12 16 10016
12 17 10027
12 18 10055
12 19 10073
12 20 10095
13 14 10090
13 15 10070
13 16 10019
13 17 10089
13 18 10078
13 19 10059
13 20 10098
14 15 10093
14 16 10036
14 17 10002
14 18 10092
14 19 10051
14 20 10069
15 16 10009
15 17 10033
15 18 10055
15 19 10021
15 20 10042
16 17 10095
16 18 10047
16 19 10066
16 20 10074
17 18 10051
17 19 10022
17 20 10041
18 19 10066
18 20 10097
19 20 10005
